StandNumber,Company,Zone,Category,Website,X_m,Y_m,W_m,D_m
,FORD,ZONA 4,Auto si mobilitate,https://www.ford.ro,42.66,33.51,18.01,7.0
,SYMMETRICA,ZONA 1,Materiale de constructii,https://www.symmetrica.ro,49.82,46.67,10.79,5.29
,ADURO,ZONA 1,"HVAC, incalzire, ventilatie si instalatii",,9.32,59.99,2.89,2.01
,STRABAG,ZONA 4,"Arhitectura, inginerie si antreprenoriat constructii",https://www.strabag.com,15.5,32.33,3.99,7.08
,ARDI,ZONA 2,Produse si servicii pentru constructii (general),,113.48,42.82,10.6,10.4
B8,MEXI,ZONA 6,"Ferestre, usi, fatade si tamplarie",,159.77,35.74,7.11,4.04
F1,CLIMATICO,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,101.76,10.71,7.05,7.11
M3,SKYLUX CONSTRUCTION,ZONA 6,Acoperisuri si hidroizolatii,https://www.skylux.be,135.32,3.63,6.09,3.04
M2,SMART CLIMA,ZONA 6,"HVAC, incalzire, ventilatie si instalatii",,148.5,3.63,12.05,3.04
M4,DIPET MITSUBISHI ELECTRIC,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,130.25,3.63,5.07,3.04
M1,MC BAUCHIMIE,ZONA 6,"Chimie pentru constructii (adezivi, spume, etansari)",https://www.mc-bauchemie.com,160.56,1.6,6.09,5.07
M10,BIKERS FOR HUMANITY,ZONA 4,"Educatie, asociatii si ONG",,71.15,3.54,4.08,3.04
,BOSCH GROUP - PRO TOUR TRUCK,ZONA 1,"Scule, unelte, fixari si echipamente de masura",https://www.bosch.ro,24.07,78.87,44.15,5.91
N10,MESSENBURG,ZONA 2,Produse si servicii pentru constructii (general),,92.76,78.92,13.18,5.87
N5,DAXFLEX,ZONA 6,Produse si servicii pentru constructii (general),,188.0,24.52,2.03,4.96
,HAPPY HOME CORPORATION,ZONA 6,Produse si servicii pentru constructii (general),,188.0,29.61,2.03,8.91
N7,MHV TECHNOLOGY,ZONA 7,Produse si servicii pentru constructii (general),,188.03,46.44,2.03,6.98
B6,MALINCO,ZONA 6,Produse si servicii pentru constructii (general),,159.92,26.29,7.11,3.0
B5,LIDERS,ZONA 6,Produse si servicii pentru constructii (general),,159.92,22.25,7.12,4.04
B7,ALUGARD,ZONA 6,"Ferestre, usi, fatade si tamplarie",,153.83,26.29,6.6,3.0
B4,CASE CALDUROASE,ZONA 6,Produse si servicii pentru constructii (general),,153.83,22.25,6.09,4.04
A8,HEXAN,ZONA 6,Produse si servicii pentru constructii (general),,176.91,26.12,7.11,3.0
A6,CEMACON,ZONA 6,Materiale de constructii,https://cemacon.ro,170.87,22.03,13.18,4.04
A7,CELLECO,ZONA 6,Izolatii termice si anvelopa cladirii,,170.86,26.12,6.09,3.0
A12,ALUPROF SYSTEM,ZONA 6,"Ferestre, usi, fatade si tamplarie",https://aluprof.eu,176.69,37.49,7.11,3.0
A10,TPS,ZONA 6,Produse si servicii pentru constructii (general),,171.02,33.41,13.15,4.04
A11,ROTHOBLAAS,ZONA 6,Constructii si structuri din lemn,https://www.rothoblaas.com,171.02,37.45,6.05,3.0
D10,IBC FOCUS,ZONA 3,Media si publicatii de specialitate,https://www.ibcfocus.ro,133.76,48.95,4.98,3.09
D8,SAINT GOBAN,ZONA 3,Materiale de constructii,https://www.saint-gobain.ro,133.76,44.94,4.98,4.05
D9,WEICON,ZONA 3,"Chimie pentru constructii (adezivi, spume, etansari)",https://www.weicon.de,131.73,44.94,2.09,7.12
C11,GENIO,ZONA 3,Produse si servicii pentru constructii (general),,145.63,48.92,4.05,3.09
C8,ZEHNDER,ZONA 3,"HVAC, incalzire, ventilatie si instalatii",https://www.zehndergroup.com,145.63,44.89,4.05,4.05
C10,WOODSENSE,ZONA 3,Constructii si structuri din lemn,,142.63,48.94,3.0,3.09
C9,KUNATURA,ZONA 3,Izolatii termice si anvelopa cladirii,,142.63,44.92,3.0,4.05
D5,ISOGREEN,ZONA 5,Izolatii termice si anvelopa cladirii,,131.55,26.16,7.13,3.09
D4,GUNNEX,ZONA 5,Produse si servicii pentru constructii (general),,131.55,22.13,7.13,4.05
C5,SELENA ROMANIA,ZONA 6,"Chimie pentru constructii (adezivi, spume, etansari)",https://selena.com,142.56,26.21,7.13,3.09
C4,VALROM,ZONA 6,"HVAC, incalzire, ventilatie si instalatii",https://www.valrom.ro,142.56,22.18,7.13,4.05
D6,DARCOM,ZONA 6,Produse si servicii pentru constructii (general),,135.08,33.41,3.5,4.23
C7,COLOR METAL,ZONA 6,Produse si servicii pentru constructii (general),,142.56,36.95,7.13,3.59
C6,LUISS DANPROD,ZONA 6,Produse si servicii pentru constructii (general),,142.56,33.42,7.13,3.53
D3,ATX HVAC,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,131.58,14.78,7.04,3.09
D1,EXTREME SOLUTIONS,ZONA 6,Produse si servicii pentru constructii (general),,134.56,10.75,4.05,4.05
D2,AGROLAND CONSULT,ZONA 5,Produse si servicii pentru constructii (general),,131.5,10.78,3.0,4.05
C3,TESTO ROM,ZONA 6,"Scule, unelte, fixari si echipamente de masura",https://www.testo.com,142.66,14.75,7.06,3.09
C1,SOUDAL,ZONA 6,"Chimie pentru constructii (adezivi, spume, etansari)",https://www.soudal.com,145.67,10.68,4.05,4.05
C2,HECO - SCHRAUBEN,ZONA 6,"Scule, unelte, fixari si echipamente de masura",https://www.heco-schrauben.de,142.67,10.68,3.0,4.05
F14,DECEUNINCK ROMANIA,ZONA 2,"Ferestre, usi, fatade si tamplarie",https://www.deceuninck.ro,101.78,49.33,6.9,3.0
F11,SOLAX POWER,ZONA 2,Energie regenerabila si fotovoltaice,https://www.solaxpower.com,101.78,44.56,6.17,4.79
F13,FIBRAN,ZONA 2,Izolatii termice si anvelopa cladirii,https://fibran.gr,95.48,49.33,6.29,3.0
F12,SISTEMA FLOOR HEATING,ZONA 2,"HVAC, incalzire, ventilatie si instalatii",,95.48,45.3,6.29,4.04
,NOVING AIR,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,95.69,25.88,13.69,3.0
F6,UNIKAT,ZONA 5,Produse si servicii pentru constructii (general),,101.75,21.84,7.65,4.04
F5,IZO ONE,ZONA 5,Izolatii termice si anvelopa cladirii,,95.66,21.84,6.09,4.04
F8,CLIVET SPA,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",https://www.clivet.com,95.67,33.02,7.53,4.07
G14,PM ALUMINIUM LINE,ZONA 2,"Ferestre, usi, fatade si tamplarie",,78.45,45.26,6.14,4.0
G8,ELECTRICON,ZONA 5,Instalatii electrice si smart home,,84.54,26.05,7.11,3.0
G5,ONE CONCEPT HITACHI,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,84.54,22.01,7.11,4.04
G7,GIBB,ZONA 4,Produse si servicii pentru constructii (general),,78.45,26.05,6.09,3.0
G6,NOVATIK,ZONA 4,Acoperisuri si hidroizolatii,https://www.novatik.ro,78.45,22.01,6.09,4.04
G12,BAUDER,ZONA 2,Acoperisuri si hidroizolatii,https://www.bauder.de,84.54,37.61,7.08,2.97
G9,ROCKWOOL,ZONA 5,Izolatii termice si anvelopa cladirii,https://www.rockwool.com,84.53,33.56,7.11,4.04
G11,Stand G11,ZONA 2,Produse si servicii pentru constructii (general),,78.47,37.61,6.09,2.97
G4,VELUX,ZONA 5,Acoperisuri si hidroizolatii,https://www.velux.ro,84.54,14.79,7.11,3.0
G1,ALUMIL,ZONA 5,"Ferestre, usi, fatade si tamplarie",https://www.alumil.com,82.51,10.75,9.14,4.04
G3,MTM,ZONA 4,Produse si servicii pentru constructii (general),,78.45,14.79,6.98,3.0
G2,KNIPEX WERK,ZONA 4,"Scule, unelte, fixari si echipamente de masura",https://www.knipex.com,78.45,10.77,4.03,4.03
E3,DIZAINAR,ZONA 5,"Mobilier, design si amenajari interioare",https://www.dizainar.ro,113.84,14.79,13.63,3.0
E1,ECOVENT,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,119.93,10.75,7.54,4.04
E2,ECOVENT,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,113.86,10.75,6.09,4.04
B9,GENWAY,ZONA 6,Instalatii electrice si smart home,,153.78,35.73,5.99,4.04
H10,CHORUS,ZONA 1,Produse si servicii pentru constructii (general),,64.26,60.01,5.08,3.36
H6,GENERAL MEMBRANE,ZONA 4,Acoperisuri si hidroizolatii,https://www.generalmembrane.it,64.27,37.46,10.17,3.11
H4,RUBIQ,ZONA 4,Produse si servicii pentru constructii (general),,64.27,25.82,10.17,3.11
H3a,EYRAP GRUP,ZONA 4,Produse si servicii pentru constructii (general),,64.27,20.87,4.96,4.96
H2,BDM SYSTEMS,ZONA 4,Produse si servicii pentru constructii (general),,64.27,14.67,10.17,3.11
H1,KNAUF,ZONA 4,Materiale de constructii,https://www.knauf.ro,64.27,10.68,10.17,4.0
,ELIS PAVAJE,ZONA 4,Materiale de constructii,https://www.elispavaje.ro,75.23,3.54,8.27,3.04
M5,KUXA,ZONA 5,Produse si servicii pentru constructii (general),,111.86,1.6,4.19,5.07
M8,HAUSENERGY,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,85.64,3.57,4.01,3.04
M7,SEMINEE DEUS,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,89.53,3.57,5.03,3.04
A15,QFORT,ZONA 6,"Ferestre, usi, fatade si tamplarie",https://www.qfort.ro,171.02,45.08,13.15,7.11
D7,ALUFORM,ZONA 5,"Ferestre, usi, fatade si tamplarie",,131.46,37.59,7.13,3.09
F2,MAX BAU,ZONA 5,Produse si servicii pentru constructii (general),,95.55,10.71,6.22,7.11
G10,THERMOTOP,ZONA 2,"HVAC, incalzire, ventilatie si instalatii",,78.58,36.23,5.84,2.17
G15,MAGNUM HEATING,ZONA 2,"HVAC, incalzire, ventilatie si instalatii",,78.44,49.19,6.09,3.0
G16,NPU SOLUTIONS,ZONA 2,Produse si servicii pentru constructii (general),,84.56,49.33,7.11,2.85
G13,SVS MECHANICAL,ZONA 2,Produse si servicii pentru constructii (general),,84.53,45.19,7.11,4.07
H8,INTERO PROPERTY DEVELOPMENT,ZONA 1,Dezvoltare imobiliara,,64.37,48.16,5.22,4.07
M5a,ECO GARDEN CONSTRUCT,ZONA 5,"Gradina, peisagistica si exterior",,106.87,3.57,5.03,3.04
N1,BUILDMAN STORE,ZONA 6,Produse si servicii pentru constructii (general),,188.01,8.64,2.03,7.2
N2,AMBIANZ SIEGENIA,ZONA 6,"Ferestre, usi, fatade si tamplarie",https://www.siegenia.com,187.92,15.8,2.03,4.09
B7a,AIRO VENT,ZONA 6,"HVAC, incalzire, ventilatie si instalatii",,155.24,32.33,4.53,1.14
B7b,KONNO MCO PREMIUM,ZONA 6,Produse si servicii pentru constructii (general),,159.76,32.33,6.83,1.14
F9,MENATWORK,ZONA 5,Materiale de constructii,https://www.menatwork.ro,95.67,37.08,7.53,4.04
F7,HPLUX,ZONA 5,Produse si servicii pentru constructii (general),,103.21,33.03,5.64,4.07
M0,Universitatea de Arhitectura si Urbanism Ion Mincu,ZONA 6,"Educatie, asociatii si ONG",https://www.uauim.ro,178.9,1.21,11.16,5.07
N12,INGINERIE CREATIVA,ZONA 2,"Arhitectura, inginerie si antreprenoriat constructii",,73.38,78.92,8.64,5.87
,HUBUL LEMMNULUI,ZONA 2,Constructii si structuri din lemn,,105.93,78.92,24.09,5.87
N11,HIPESHOP.RO,ZONA 2,Produse si servicii pentru constructii (general),https://www.hipeshop.ro,82.02,78.92,10.63,5.87
H10a,ACOPERO SERV,ZONA 2,Acoperisuri si hidroizolatii,,69.42,60.01,5.08,3.36
H9,DOMUSA TEKNIK,ZONA 2,"HVAC, incalzire, ventilatie si instalatii",https://www.domusateknik.com,69.42,56.52,5.08,3.44
H7,PLUSMINUS ARCHITECTURE,ZONA 2,"Arhitectura, inginerie si antreprenoriat constructii",,69.55,45.15,4.99,3.02
H8a,ATREA,ZONA 2,"HVAC, incalzire, ventilatie si instalatii",https://www.atrea.cz,69.55,48.16,4.99,4.07
H3,KRONOSPAN TRADING,ZONA 4,Materiale de constructii,https://kronospan.com,69.23,20.85,5.21,4.88
M11,HL ROMANIA,ZONA 4,"HVAC, incalzire, ventilatie si instalatii",,67.09,3.54,4.08,3.04
M9,HAUSENERGY,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,83.58,3.57,2.06,3.04
H5a,AVI PISCINE,ZONA 4,"Gradina, peisagistica si exterior",,64.27,33.41,5.22,4.07
H5,HEXONIC,ZONA 4,"HVAC, incalzire, ventilatie si instalatii",,69.45,33.41,4.99,4.07
F10,BOUTIQUE CADOUX,ZONA 5,Produse si servicii pentru constructii (general),,103.19,37.07,5.64,4.07
D6a,LITARH,ZONA 5,Produse si servicii pentru constructii (general),,131.44,33.41,3.57,4.14
F5a,GUTMAN,ZONA 5,Acoperisuri si hidroizolatii,,98.7,21.86,3.05,4.03
B13,E.ON MAIN PARTNER,ZONA 3,Furnizor de energie,https://www.eon.ro,153.8,44.91,13.15,7.11
,DREAME,ZONA 4,Electrocasnice si tehnologie consumer,,42.54,9.68,9.22,8.24
,TESLA,ZONA 4,Auto si mobilitate,https://www.tesla.com,55.65,9.79,5.14,8.14
,SOLIS - Masina de curse,ZONA 1,Auto si mobilitate,,55.63,56.56,4.05,6.09
B1,DIZAINAR,ZONA 6,"Mobilier, design si amenajari interioare",https://www.dizainar.ro,159.63,10.9,7.25,7.04
B3,GCT,ZONA 6,Produse si servicii pentru constructii (general),,153.56,14.93,6.09,3.0
B2,ALUKÖNIGSTAHL,ZONA 6,"Ferestre, usi, fatade si tamplarie",https://www.alukoenigstahl.com,153.56,10.89,6.09,4.04
M0a,ARDBI,ZONA 6,Produse si servicii pentru constructii (general),,178.9,1.21,4.14,5.07
M6,SEMINEE DEUS,ZONA 5,"HVAC, incalzire, ventilatie si instalatii",,94.63,3.57,12.18,3.04
N6,DAFCO FENDOOR,ZONA 7,Produse si servicii pentru constructii (general),,188.01,38.68,2.03,7.74
A4,BT MAIN PARTNER,ZONA 6,Servicii financiar-bancare,https://www.bancatransilvania.ro,171.11,10.86,13.02,7.13
O5,ZAHARIA CERAMIC,ZONA 7,Materiale de constructii,,215.53,36.88,6.05,4.5
H11,KRAFT CAMPUS Asociatia RO Electric,ZONA 1,"Educatie, asociatii si ONG",,64.23,71.57,5.22,4.12
E11,XELLA,ZONA 2,Materiale de constructii,https://www.xella.com,113.49,57.15,13.27,7.16
G20,REGULUS,ZONA 2,"HVAC, incalzire, ventilatie si instalatii",https://www.regulus.cz,84.72,60.66,7.11,3.0
G17,NPU SOLUTIONS,ZONA 2,Produse si servicii pentru constructii (general),,84.72,56.62,7.11,4.04
G19,DEWALT,ZONA 2,"Scule, unelte, fixari si echipamente de masura",https://www.dewalt.com,78.63,59.7,6.09,3.96
G18,WEDI,ZONA 2,Materiale de constructii,https://www.wedi.de,78.63,56.62,6.09,3.08
F17,METIGLA,ZONA 2,Acoperisuri si hidroizolatii,https://www.metigla.ro,95.67,56.65,6.43,7.01
F15,BIMTECH,ZONA 2,"Software, BIM si servicii digitale",https://buildingsmartromania.org/,102.1,56.62,7.59,3.88
E10,ROMEPS,ZONA 2,Izolatii termice si anvelopa cladirii,,113.53,62.17,7.05,2.06
E9,BARRIER,ZONA 2,"Ferestre, usi, fatade si tamplarie",https://www.barrier.ro,113.48,57.17,2.06,4.99
B20,CASA AVANTAJ,ZONA 3,Produse si servicii pentru constructii (general),,152.92,67.59,5.03,8.19
B14,DIMMER,ZONA 3,Instalatii electrice si smart home,,153.67,56.16,4.27,8.15
C19,RHINO SAFETY,ZONA 3,"Scule, unelte, fixari si echipamente de masura",,142.74,71.69,7.04,4.11
C15,UNIPREST,ZONA 3,"HVAC, incalzire, ventilatie si instalatii",,142.64,60.24,7.04,4.07
G24,KRAFT CAMPUS,ZONA 2,"Educatie, asociatii si ONG",,84.88,71.67,6.59,4.01
F19,KRAFT CAMPUS Coldea,ZONA 2,"Educatie, asociatii si ONG",,104.35,67.55,4.87,4.3
E14,HUBUL LEMMNULUI,ZONA 2,Constructii si structuri din lemn,,113.51,67.67,13.27,8.01
D19,GLULAM,ZONA 3,Constructii si structuri din lemn,,131.57,67.54,7.04,8.2
D15,STADTMEISTER,ZONA 3,Produse si servicii pentru constructii (general),,135.08,60.24,3.51,4.07
O2,BIG STORE,ZONA 7,Produse si servicii pentru constructii (general),,237.94,37.84,18.21,12.22
O6a,SPA JOY,ZONA 7,"Gradina, peisagistica si exterior",,229.0,36.43,4.77,7.44
C12,STERCHELE GROUP,ZONA 3,Produse si servicii pentru constructii (general),,142.64,56.19,7.04,4.04
C17,ISOMAT,ZONA 3,"Chimie pentru constructii (adezivi, spume, etansari)",https://www.isomat.eu,142.74,67.55,3.99,4.07
C16,PENOSIL,ZONA 3,"Chimie pentru constructii (adezivi, spume, etansari)",https://penosil.com,146.73,67.55,3.05,4.07
G21,KRAFT CAMPUS +Kirman,ZONA 2,"Educatie, asociatii si ONG",,84.89,67.54,6.59,4.14
G22,KRAFT CAMPUS +BDM Systems,ZONA 2,"Educatie, asociatii si ONG",,78.29,67.54,6.59,4.14
G23,KRAFT CAMPUS + ZECAPH,ZONA 2,"Educatie, asociatii si ONG",,78.29,71.66,13.19,4.03
H9a,GERARD,ZONA 1,Acoperisuri si hidroizolatii,https://www.gerardroofs.eu,64.26,56.5,5.08,3.44
O6b,HEXANN,ZONA 7,Produse si servicii pentru constructii (general),,215.5,41.41,4.04,7.27
O6,MAKITA,ZONA 7,"Scule, unelte, fixari si echipamente de masura",https://www.makita.ro,224.58,52.35,9.21,4.77
D14,EJOT,ZONA 3,"Scule, unelte, fixari si echipamente de masura",https://www.ejot.com,131.57,60.23,3.51,4.07
D12,ROOF POWER HUB,ZONA 3,Energie regenerabila si fotovoltaice,,135.08,56.12,3.51,4.11
D13,ADWISERS PROFESSIONAL CONSULTING,ZONA 3,"Arhitectura, inginerie si antreprenoriat constructii",,131.57,56.12,3.51,4.11
H7a,METAWEALTH,ZONA 1,Dezvoltare imobiliara,,64.37,45.15,5.18,3.54
O11,CRIANO EXIM,ZONA 7,Materiale de constructii,https://www.criano.ro,215.47,25.76,3.24,11.08
O12,CABANE SUCEVITA,ZONA 7,Constructii si structuri din lemn,,237.83,54.21,3.01,3.01
,Quadratum,ZONA 1,Produse si servicii pentru constructii (general),,22.48,49.07,2.96,6.2
,DEPANERO,ZONA 1,Produse si servicii pentru constructii (general),,25.44,49.07,5.07,3.01
,LEVIATAN,ZONA 1,"Arhitectura, inginerie si antreprenoriat constructii",,22.48,38.75,8.0,6.09
,FPSC Cluster TEC CSC CAIR,ZONA 1,"Educatie, asociatii si ONG",,22.52,58.24,8.08,4.11
,UTCB,ZONA 4,"Educatie, asociatii si ONG",https://utcb.ro,34.59,32.52,4.96,3.02
,VIAROM,ZONA 4,"Arhitectura, inginerie si antreprenoriat constructii",https://www.viarom.ro,29.37,32.52,5.22,3.02
,ERBASU,ZONA 4,"Arhitectura, inginerie si antreprenoriat constructii",https://www.erbasu.ro,19.59,32.52,7.84,3.02
F18,LOGICASSA,ZONA 2,Produse si servicii pentru constructii (general),,102.1,60.52,7.59,3.15
N8,PRIMA DEVELOPMENT,ZONA 3,Dezvoltare imobiliara,,135.28,78.86,4.38,5.95
,CAFEA,ZONA 1,Food & beverage / ospitalitate,,17.51,39.51,1.87,2.97
,SCENA,ZONA 4,Produse si servicii pentru constructii (general),,6.54,32.37,2.97,3.91
,CAFEA,ZONA 1,Food & beverage / ospitalitate,,6.54,37.04,1.87,2.97
,CERTSIGN,ZONA 1,"Software, BIM si servicii digitale",https://www.certsign.ro,12.22,59.99,2.89,2.01
,KRAFT CAMPUS Alternative FAssaden,ZONA 2,"Educatie, asociatii si ONG",,69.48,67.54,5.22,8.15
,KRAFT CAMPUS,ZONA 1,"Educatie, asociatii si ONG",,64.23,67.55,5.22,4.12
F21,KRAFT CAMPUS +HEATLUX,ZONA 2,"Educatie, asociatii si ONG",,95.66,71.55,8.69,4.23
F22,KRAFT CAMPUS Calificat.ro,ZONA 2,"Educatie, asociatii si ONG",,104.35,71.78,4.87,4.01
F20,KRAFT CAMPUS +METIGLA,ZONA 2,Acoperisuri si hidroizolatii,https://www.metigla.ro,95.66,67.55,8.69,4.23
,ONE,ZONA 1,Produse si servicii pentru constructii (general),,34.54,46.02,2.94,3.44
,Habitat for humanity,ZONA 1,"Educatie, asociatii si ONG",https://www.habitat.org,34.54,49.6,2.94,3.67
,RONGO DESIGN,ZONA 1,"Mobilier, design si amenajari interioare",,34.55,42.82,3.02,3.11
,FACULTATEA DE ENERGETICA,ZONA 1,"Educatie, asociatii si ONG",,34.54,40.49,2.98,2.32
,LYNK&CO / ZEEKR,ZONA 4,Auto si mobilitate,,42.54,22.17,8.99,8.09
,LEPAS,ZONA 4,Auto si mobilitate,,55.65,22.17,5.14,8.14
,TINECO,ZONA 1,Electrocasnice si tehnologie consumer,https://www.tineco.com,39.91,44.92,2.81,7.08
,MM CITE,ZONA 7,"Mobilier, design si amenajari interioare",https://www.mmcite.com,227.66,57.84,6.1,10.03
O3,HEMPCRETE,ZONA 7,Izolatii termice si anvelopa cladirii,,246.06,54.25,5.03,2.92
O4,MOB TOP SOLUTIONS,ZONA 7,"Mobilier, design si amenajari interioare",,251.08,54.26,4.96,2.87
O7,HANG AROUND,ZONA 7,"Gradina, peisagistica si exterior",,229.0,33.6,3.66,2.75
O1,ART SHADOWS,ZONA 7,"Mobilier, design si amenajari interioare",,215.5,48.81,3.19,4.91
O8,PRIMITIV PLANTS,ZONA 7,"Gradina, peisagistica si exterior",,229.8,44.0,3.96,5.06
O9,MIRKA,ZONA 7,"Scule, unelte, fixari si echipamente de masura",https://www.mirka.com,215.5,53.69,3.96,3.53
O10,LA FANTANA,ZONA 7,Food & beverage / ospitalitate,https://www.lafantana.ro,221.33,22.28,12.27,6.09
O14,MARTETIC,ZONA 7,Produse si servicii pentru constructii (general),,215.61,22.03,2.92,3.59
O13,ECO HOUSE GARDEN,ZONA 7,"Gradina, peisagistica si exterior",,240.96,54.25,5.03,2.92
O16,ALL WORLD LOGISTICS,ZONA 7,Produse si servicii pentru constructii (general),,222.64,45.0,2.92,2.92
